job_titles,ai_impact,tasks,ai_models,ai_workload_ratio,domain
Sql Server Developer,70.0,10,49,0.2040816326530612,Construction
Sql Developer,70.0,10,49,0.2040816326530612,Law Enforcement
Embedded Systems Engineer,70.0,119,853,0.1395076201641266,Hospitality
Financial Analyst,70.0,172,1125,0.1528888888888888,Construction
Solar Sales,70.0,128,1153,0.1110147441457068,Leadership & Strategy
Application Developer,70.0,151,1045,0.1444976076555024,Construction
Qa Software Tester,70.0,127,918,0.1383442265795207,Law Enforcement
Clinical Trial Assistant,70.0,136,886,0.1534988713318284,Leadership & Strategy
Tax Examiner,70.0,134,896,0.1495535714285714,Administrative & Clerical
Payroll Processor,70.0,145,1302,0.1113671274961597,Data & IT
Payment Processor,70.0,149,1316,0.1132218844984802,Communication & PR
Technical Product Manager,70.0,183,1474,0.1241519674355495,Leadership & Strategy
Software Product Manager,70.0,181,1472,0.1229619565217391,Administrative & Clerical
Credit Specialist,70.0,170,1394,0.1219512195121951,Law Enforcement
Ultrasound Technician,70.0,76,566,0.1342756183745583,Leadership & Strategy
Data Scientist,70.0,180,1091,0.1649862511457378,Data & IT
Cloud Engineer,70.0,152,1013,0.1500493583415597,Communication & PR
Clinical Informatics Specialist,70.0,140,996,0.1405622489959839,Hospitality
Sap Developer,70.0,131,929,0.1410118406889128,Sales & Marketing
Chief Of Police,70.0,122,1047,0.1165234001910219,Data & IT
Sports Analyst,70.0,9,50,0.18,Communication & PR
Credit Risk Analyst,70.0,171,1119,0.1528150134048257,Supply Chain & Logistics
Information Assurance,70.0,8,46,0.1739130434782608,Leadership & Strategy
Mystery Shopper,70.0,99,671,0.1475409836065573,Supply Chain & Logistics
Cashier,70.0,97,703,0.1379800853485064,Medical & Healthcare
Database Programmer,70.0,160,1022,0.1565557729941291,Administrative & Clerical
Radiology Technologist,70.0,75,549,0.1366120218579235,Administrative & Clerical
Radiologic Technologist,70.0,75,549,0.1366120218579235,Data & IT
Receiving Clerk,70.0,149,1307,0.1140015302218821,Communication & PR
Office Cleaner,70.0,64,386,0.1658031088082901,Hospitality
Mailroom Clerk,70.0,135,1205,0.1120331950207468,Sales & Marketing
Medical Billing Specialist,70.0,124,827,0.1499395405078597,Data & IT
Implementation Analyst,70.0,178,1156,0.1539792387543252,Communication & PR
Sap Project Manager,70.0,10,52,0.1923076923076923,Data & IT
Infrastructure Project Manager,70.0,176,1448,0.1215469613259668,Communication & PR
Mortgage Loan Processor,70.0,146,1322,0.1104387291981845,Communication & PR
Web Content Editor,70.0,234,1986,0.1178247734138972,Sales & Marketing
Technical Marketing Engineer,70.0,244,1576,0.1548223350253807,Construction
Flooring Installer,70.0,1,2,0.5,Law Enforcement
Front End Developer,70.0,159,1104,0.1440217391304347,Hospitality
Entry Level Developer,70.0,151,1033,0.1461761858664085,Sales & Marketing
Javascript Developer,70.0,150,1039,0.1443695861405197,Supply Chain & Logistics
Developer,70.0,139,992,0.1401209677419354,Medical & Healthcare
Game Programmer,70.0,152,1318,0.1153262518968133,Hospitality
Arabic Linguist,70.0,113,859,0.1315483119906868,Sales & Marketing
Computational Linguist,70.0,139,912,0.1524122807017544,Data & IT
Engineering Project Manager,70.0,176,1446,0.1217150760719225,Hospitality
Business Manager,68.0,164,1072,0.1529850746268656,Supply Chain & Logistics
Inpatient Coder,68.0,117,752,0.1555851063829787,Law Enforcement
Cad Drafter,68.0,125,948,0.1318565400843881,Medical & Healthcare
Assistant Branch Manager,67.0,130,861,0.1509872241579558,Construction
Front Office Clerk,67.0,129,926,0.1393088552915766,Hospitality
Front Desk Attendant,67.0,126,886,0.1422121896162528,Sales & Marketing
Administrative Specialist,65.0,134,866,0.1547344110854503,Data & IT
Help Desk,65.0,133,1047,0.1270296084049665,Leadership & Strategy
Administrative Officer,65.0,133,865,0.153757225433526,Communication & PR
Security Dispatcher,65.0,84,774,0.1085271317829457,Construction
Safety Consultant,65.0,73,765,0.0954248366013071,Law Enforcement
Forensic Chemist,65.0,54,423,0.1276595744680851,Supply Chain & Logistics
Deputy Director,65.0,122,829,0.1471652593486128,Medical & Healthcare
Finance Analyst,65.0,168,1242,0.1352657004830917,Construction
Equity Research Associate,65.0,163,1067,0.1527647610121837,Law Enforcement
Sql Data Analyst,65.0,250,1459,0.1713502398903358,Data & IT
Logistics Clerk,65.0,124,1005,0.1233830845771144,Medical & Healthcare
Equity Research Analyst,65.0,162,1066,0.1519699812382739,Supply Chain & Logistics
Equity Analyst,65.0,162,1066,0.1519699812382739,Medical & Healthcare
Environmental Analyst,65.0,164,1067,0.1537019681349578,Leadership & Strategy
Energy Analyst,65.0,164,1066,0.1538461538461538,Administrative & Clerical
Derivatives Analyst,65.0,161,1059,0.1520302171860245,Data & IT
Cost Accountant,65.0,158,1067,0.148078725398313,Communication & PR
Vascular Technologist,65.0,57,434,0.1313364055299539,Law Enforcement
Cad Operator,65.0,123,921,0.1335504885993485,Sales & Marketing
Oracle Database Developer,65.0,242,1424,0.1699438202247191,Communication & PR
Branch Office Administrator,65.0,130,828,0.1570048309178744,Administrative & Clerical
Sonographer,65.0,57,412,0.1383495145631068,Administrative & Clerical
Rpg Programmer,65.0,217,1279,0.1696637998436278,Supply Chain & Logistics
Junior Software Engineer,65.0,243,1716,0.1416083916083916,Leadership & Strategy
Pricing Specialist,65.0,164,1163,0.1410146173688736,Medical & Healthcare
Ultrasonographer,65.0,59,438,0.1347031963470319,Leadership & Strategy
Mainframe Programmer,65.0,226,1354,0.1669128508124076,Hospitality
Healthcare Data Analyst,65.0,230,1609,0.1429459291485394,Sales & Marketing
Database Administrator,65.0,241,1372,0.1756559766763848,Construction
Executive Producer,65.0,182,1302,0.1397849462365591,Law Enforcement
Corporate Financial Analyst,65.0,162,1056,0.1534090909090909,Hospitality
Freelance,65.0,182,1206,0.1509121061359867,Hospitality
Sales Operations Analyst,65.0,157,1053,0.1490978157644824,Sales & Marketing
Crm Analyst,65.0,164,1081,0.1517113783533765,Construction
Warranty Clerk,65.0,116,816,0.142156862745098,Law Enforcement
X Ray Technician,65.0,59,437,0.1350114416475972,Construction
Asp.Net Developer,65.0,245,1752,0.1398401826484018,Hospitality
Abap Developer,65.0,242,1696,0.142688679245283,Sales & Marketing
.Net Developer,65.0,248,1734,0.1430219146482122,Construction
Shipping,65.0,107,711,0.150492264416315,Supply Chain & Logistics
Clinical Data Analyst,65.0,220,1369,0.1607012417823228,Law Enforcement
Business Banking Relationship Manager,65.0,166,1126,0.147424511545293,Hospitality
Sales Associate,65.0,169,1197,0.1411862990810359,Sales & Marketing
Radiology Assistant,65.0,68,480,0.1416666666666666,Data & IT
Game Artist,65.0,190,1453,0.1307639366827254,Communication & PR
Electrical Drafter,65.0,123,920,0.133695652173913,Supply Chain & Logistics
Web Content Manager,65.0,322,2266,0.1421006178287731,Medical & Healthcare
Medical Biller,65.0,137,832,0.1646634615384615,Construction
Structural Designer,65.0,130,965,0.1347150259067357,Law Enforcement
Certified Professional Coder,65.0,129,798,0.1616541353383458,Data & IT
Forensic Accountant,65.0,157,996,0.1576305220883534,Communication & PR
Vascular Technician,65.0,57,434,0.1313364055299539,Supply Chain & Logistics
Commission Analyst,65.0,159,1061,0.1498586239396795,Sales & Marketing
Analog Design Engineer,65.0,134,913,0.1467688937568455,Data & IT
Technology,65.0,160,1099,0.1455868971792538,Communication & PR
Cad Technician,65.0,124,922,0.1344902386117136,Hospitality
Title Clerk,65.0,107,704,0.1519886363636363,Supply Chain & Logistics
C Developer,65.0,242,1743,0.1388410786001147,Data & IT
Associate Software Engineer,65.0,245,1753,0.1397604107244723,Communication & PR
Junior Java Developer,65.0,247,1714,0.1441073512252042,Administrative & Clerical
Operations Research Analyst,65.0,174,1119,0.1554959785522788,Medical & Healthcare
Finance Specialist,65.0,160,1218,0.1313628899835796,Sales & Marketing
Financial Auditor,65.0,154,983,0.1566632756866734,Hospitality
Order Processor,65.0,129,927,0.1391585760517799,Medical & Healthcare
Medical Claims Processor,65.0,140,836,0.1674641148325359,Leadership & Strategy
Automation Engineer,65.0,141,937,0.1504802561366061,Administrative & Clerical
Hospital Housekeeping,65.0,8,33,0.2424242424242424,Hospitality
Cleaner,65.0,6,27,0.2222222222222222,Sales & Marketing
Executive Personal Assistant,65.0,128,1018,0.1257367387033398,Leadership & Strategy
Assistant Director,65.0,135,989,0.1365015166835187,Administrative & Clerical
Commercial Analyst,65.0,157,1039,0.1511068334937439,Construction
Bookkeeping,65.0,139,914,0.1520787746170678,Law Enforcement
Bookkeeper,65.0,141,911,0.1547749725576289,Supply Chain & Logistics
Janitor,65.0,9,138,0.0652173913043478,Communication & PR
Dot Net Developer,65.0,249,1735,0.1435158501440922,Leadership & Strategy
C# Developer,65.0,248,1731,0.1432697862507221,Administrative & Clerical
Correctional Officer,65.0,37,280,0.1321428571428571,Leadership & Strategy
Armored Truck Driver,65.0,28,227,0.1233480176211453,Administrative & Clerical
Vascular Sonographer,65.0,57,434,0.1313364055299539,Medical & Healthcare
Survey Researcher,65.0,165,1079,0.1529193697868396,Leadership & Strategy
Line Operator,65.0,58,488,0.1188524590163934,Administrative & Clerical
Electronic Assembler,65.0,59,497,0.1187122736418511,Data & IT
Assembly Operator,65.0,59,495,0.1191919191919192,Communication & PR
Autocad Drafter,65.0,162,1598,0.1013767209011264,Data & IT
Firmware Engineer,65.0,238,1635,0.145565749235474,Medical & Healthcare
Ticket Agent,64.0,93,834,0.1115107913669064,Supply Chain & Logistics
Contract Specialist,63.0,162,1161,0.1395348837209302,Law Enforcement
Freelancer,63.0,120,974,0.1232032854209445,Construction
Requirements Analyst,62.0,180,1595,0.1128526645768025,Sales & Marketing
Seo Consultant,61.0,166,1338,0.1240657698056801,Hospitality
Registered Medical Assistant,60.0,43,364,0.1181318681318681,Hospitality
Seo Manager,60.0,166,1334,0.1244377811094452,Communication & PR
Seo Specialist,60.0,168,1356,0.1238938053097345,Data & IT
Supply Chain Coordinator,60.0,157,1200,0.1308333333333333,Communication & PR
Supply Coordinator,60.0,156,1196,0.1304347826086956,Data & IT
Environmental Engineer,60.0,115,757,0.1519154557463672,Sales & Marketing
Registered Dental Assistant,60.0,42,360,0.1166666666666666,Sales & Marketing
Accounts Payable,60.0,154,1154,0.1334488734835355,Communication & PR
Auditor,60.0,162,1260,0.1285714285714285,Data & IT
Budget Analyst,60.0,165,1165,0.1416309012875536,Administrative & Clerical
Collection Agent,60.0,173,1283,0.1348402182385035,Leadership & Strategy
Computer Scientist,60.0,118,779,0.1514762516046213,Sales & Marketing
Drupal Developer,60.0,108,776,0.1391752577319587,Hospitality
Truss Designer,60.0,160,1521,0.1051939513477975,Administrative & Clerical
Urban Planner,60.0,164,1559,0.1051956382296343,Leadership & Strategy
Insurance Sales,60.0,135,1031,0.1309408341416101,Medical & Healthcare
Industrial Organizational Psychologist,60.0,90,685,0.1313868613138686,Hospitality
911 Operator,60.0,133,1007,0.1320754716981132,Construction
Tax Analyst,60.0,161,1162,0.1385542168674698,Law Enforcement
Appointment Setter,60.0,116,1026,0.1130604288499025,Construction
Embryologist,60.0,50,569,0.0878734622144112,Medical & Healthcare
Medical Office Assistant,60.0,90,858,0.1048951048951049,Supply Chain & Logistics
Customs Broker,60.0,123,918,0.1339869281045751,Law Enforcement
Import Coordinator,60.0,129,935,0.1379679144385026,Construction
Import Specialist,60.0,127,931,0.1364124597207304,Sales & Marketing
Merchandising Coordinator,60.0,162,1111,0.1458145814581458,Hospitality
Biztalk Developer,60.0,138,1072,0.1287313432835821,Medical & Healthcare
Windows System Administrator,60.0,121,812,0.1490147783251231,Construction
Network Systems Administrator,60.0,126,1371,0.0919037199124726,Sales & Marketing
Senior Systems Engineer,60.0,129,1344,0.0959821428571428,Hospitality
Software Engineer,60.0,133,1342,0.0991058122205663,Communication & PR
Systems Administrator,60.0,132,1398,0.0944206008583691,Data & IT
Systems Analyst,60.0,168,1558,0.1078305519897304,Administrative & Clerical
Unix Administrator,60.0,125,1355,0.092250922509225,Leadership & Strategy
Fingerprint Technician,60.0,116,1076,0.1078066914498141,Sales & Marketing
Forensic Examiner,60.0,125,1385,0.0902527075812274,Hospitality
Windows Administrator,60.0,121,812,0.1490147783251231,Law Enforcement
Design Engineer,60.0,143,1047,0.1365807067812798,Administrative & Clerical
Report Analyst,60.0,182,1339,0.1359223300970873,Supply Chain & Logistics
Housekeeping Attendant,60.0,9,138,0.0652173913043478,Medical & Healthcare
Assembly Line Worker,60.0,39,315,0.1238095238095238,Supply Chain & Logistics
Assembly Worker,60.0,37,303,0.1221122112211221,Law Enforcement
Forklift,60.0,22,166,0.1325301204819277,Construction
Master Control Operator,60.0,120,1201,0.0999167360532889,Sales & Marketing
Curriculum Designer,60.0,170,1325,0.1283018867924528,Hospitality
General Labor,60.0,19,409,0.0464547677261613,Medical & Healthcare
General Worker,60.0,19,409,0.0464547677261613,Supply Chain & Logistics
Curriculum Specialist,60.0,164,1213,0.1352019785655399,Communication & PR
Insurance Sales Representative,60.0,135,1031,0.1309408341416101,Supply Chain & Logistics
Survey Technician,60.0,101,809,0.1248454882571075,Sales & Marketing
Accountant,60.0,117,966,0.1211180124223602,Hospitality
Claims Auditor,60.0,127,947,0.1341077085533263,Communication & PR
Contact Tracing,60.0,94,604,0.1556291390728476,Communication & PR
Healthcare Project Manager,60.0,169,1539,0.1098115659519168,Medical & Healthcare
Product Manager,60.0,195,1732,0.1125866050808314,Supply Chain & Logistics
Project Consultant,60.0,183,1636,0.1118581907090464,Law Enforcement
Project Manager,60.0,190,1686,0.1126927639383155,Construction
Customer Assistant,60.0,167,1340,0.1246268656716417,Sales & Marketing
Tax Accountant,60.0,130,1026,0.1267056530214425,Administrative & Clerical
Epic Trainer,60.0,109,900,0.1211111111111111,Data & IT
Life Insurance Agent,60.0,133,1025,0.1297560975609756,Law Enforcement
Java Software Engineer,60.0,110,796,0.1381909547738693,Construction
Creative Project Manager,60.0,169,1604,0.105361596009975,Administrative & Clerical
Erp Project Manager,60.0,162,1497,0.1082164328657314,Leadership & Strategy
Performance Analyst,60.0,176,1339,0.1314413741598207,Communication & PR
Risk Management Analyst,60.0,197,1658,0.1188178528347406,Data & IT
Salesforce Business Analyst,60.0,208,1694,0.1227863046044864,Administrative & Clerical
Data Analyst,60.0,217,1405,0.1544483985765124,Leadership & Strategy
Java Web Developer,60.0,110,796,0.1381909547738693,Sales & Marketing
Junior Developer,60.0,114,810,0.1407407407407407,Hospitality
Information Specialist,60.0,153,1186,0.1290050590219224,Construction
Procurement Clerk,60.0,115,907,0.1267916207276736,Construction
Receiver,60.0,50,311,0.1607717041800643,Sales & Marketing
Registration Clerk,60.0,85,710,0.1197183098591549,Hospitality
Registration Specialist,60.0,90,756,0.119047619047619,Communication & PR
Unit Secretary,60.0,96,834,0.1151079136690647,Data & IT
Sql Dba,60.0,147,1447,0.1015894955079474,Law Enforcement
Sql Server Dba,60.0,148,1455,0.1017182130584192,Construction
Surgical Assistant,60.0,44,375,0.1173333333333333,Communication & PR
Carpet Cleaner,60.0,6,133,0.0451127819548872,Data & IT
Information Analyst,60.0,155,1192,0.1300335570469798,Law Enforcement
Operations Clerk,60.0,108,890,0.1213483146067415,Law Enforcement
Administrative Director,60.0,120,937,0.128068303094984,Data & IT
Assistant Administrator,60.0,119,926,0.1285097192224622,Administrative & Clerical
Compliance Analyst,60.0,187,1309,0.1428571428571428,Leadership & Strategy
Financial Engineer,60.0,192,1635,0.1174311926605504,Administrative & Clerical
Financial Examiner,60.0,192,1325,0.1449056603773585,Leadership & Strategy
Forensic Scientist,60.0,129,1396,0.0924068767908309,Communication & PR
Intelligence,60.0,148,1439,0.1028492008339124,Data & IT
Military Analyst,60.0,168,1517,0.1107448912326961,Administrative & Clerical
Safety Coordinator,60.0,1,2,0.5,Leadership & Strategy
Security Technician,60.0,117,854,0.1370023419203747,Medical & Healthcare
911 Dispatcher,60.0,133,1008,0.1319444444444444,Law Enforcement
Clinical Analyst,60.0,201,1666,0.1206482593037214,Communication & PR
Meter Reader,60.0,28,240,0.1166666666666666,Data & IT
Post Office,60.0,73,516,0.1414728682170542,Medical & Healthcare
Demand Planner,60.0,154,1120,0.1375,Supply Chain & Logistics
Logistics Coordinator,60.0,158,1201,0.1315570358034971,Law Enforcement
Procurement Agent,60.0,156,1123,0.138913624220837,Construction
Purchasing Coordinator,60.0,158,1201,0.1315570358034971,Sales & Marketing
Shipping Coordinator,60.0,160,1175,0.1361702127659574,Hospitality
